timestamp,buyer,seller,symbol,currency,trade_price,quantity,day,mid_price,counterparty,side
0,Caesar,Paris,CROISSANTS,SEASHELLS,4265.0,8,2,4265.5,Caesar,buy
100,Charlie,Paris,RAINFOREST_RESIN,SEASHELLS,9999.0,1,2,9995.5,Charlie,buy
200,Paris,Caesar,CROISSANTS,SEASHELLS,4266.0,8,2,4265.5,Paris,buy
200,Paris,Caesar,JAMS,SEASHELLS,6520.0,7,2,6519.5,Paris,buy
200,Paris,Charlie,KELP,SEASHELLS,2046.0,1,2,2046.5,Paris,buy
200,Paris,Charlie,SQUID_INK,SEASHELLS,1803.0,1,2,1803.5,Paris,buy
300,Charlie,Paris,KELP,SEASHELLS,2044.0,1,2,2045.5,Charlie,buy
300,Charlie,Paris,SQUID_INK,SEASHELLS,1801.0,1,2,1802.5,Charlie,buy
500,Paris,Charlie,KELP,SEASHELLS,2047.0,2,2,2045.5,Paris,buy
500,Paris,Charlie,SQUID_INK,SEASHELLS,1804.0,2,2,1802.5,Paris,buy
600,Paris,Caesar,CROISSANTS,SEASHELLS,4266.0,5,2,4265.0,Paris,buy
700,Charlie,Gina,RAINFOREST_RESIN,SEASHELLS,9997.0,9,2,9994.5,Charlie,buy
900,Charlie,Gary,KELP,SEASHELLS,2043.0,8,2,2045.0,Charlie,buy
900,Charlie,Pablo,RAINFOREST_RESIN,SEASHELLS,9998.0,4,2,9995.0,Charlie,buy
900,Charlie,Gary,SQUID_INK,SEASHELLS,1803.0,8,2,1804.5,Charlie,buy
1000,Paris,Caesar,JAMS,SEASHELLS,6522.0,4,2,6521.0,Paris,buy
1200,Caesar,Paris,JAMS,SEASHELLS,6521.0,9,2,6522.0,Caesar,buy
1200,Camilla,Paris,KELP,SEASHELLS,2043.0,1,2,2045.0,Camilla,buy
1200,Camilla,Paris,SQUID_INK,SEASHELLS,1804.0,1,2,1805.5,Camilla,buy
1300,Pablo,Camilla,PICNIC_BASKET1,SEASHELLS,58732.0,6,2,58732.5,Pablo,buy
1300,Pablo,Camilla,PICNIC_BASKET2,SEASHELLS,30114.0,6,2,30114.5,Pablo,buy
1300,Paris,Camilla,RAINFOREST_RESIN,SEASHELLS,10003.0,1,2,9997.5,Paris,buy
1500,Charlie,Paris,KELP,SEASHELLS,2044.0,1,2,2043.5,Charlie,buy
1500,Caesar,Paris,MAGNIFICENT_MACARONS,SEASHELLS,660.0,5,2,664.0,Caesar,buy
1500,Charlie,Paris,SQUID_INK,SEASHELLS,1804.0,1,2,1805.5,Charlie,buy
1600,Caesar,Paris,CROISSANTS,SEASHELLS,4267.0,8,2,4268.0,Caesar,buy
1700,Paris,Caesar,DJEMBES,SEASHELLS,13417.0,3,2,13416.5,Paris,buy
2000,Caesar,Paris,DJEMBES,SEASHELLS,13415.0,2,2,13416.0,Caesar,buy
2000,Charlie,Camilla,SQUID_INK,SEASHELLS,1806.0,1,2,1805.5,Charlie,buy
2100,Penelope,Charlie,RAINFOREST_RESIN,SEASHELLS,10008.0,4,2,10000.0,Penelope,buy
2300,Caesar,Paris,DJEMBES,SEASHELLS,13416.0,2,2,13416.5,Caesar,buy
2400,Paris,Charlie,MAGNIFICENT_MACARONS,SEASHELLS,684.0,4,2,679.5,Paris,buy
2500,Paris,Caesar,JAMS,SEASHELLS,6522.0,6,2,6521.0,Paris,buy
2800,Caesar,Paris,JAMS,SEASHELLS,6520.0,9,2,6521.0,Caesar,buy
2900,Caesar,Paris,JAMS,SEASHELLS,6520.0,10,2,6521.0,Caesar,buy
3200,Paris,Camilla,KELP,SEASHELLS,2045.0,2,2,2044.0,Paris,buy
3200,Paris,Camilla,SQUID_INK,SEASHELLS,1807.0,2,2,1806.5,Paris,buy
3500,Charlie,Camilla,SQUID_INK,SEASHELLS,1807.0,1,2,1806.5,Charlie,buy
3500,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,234.0,14,2,234.0,Camilla,buy
3500,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,234.0,2,2,234.0,Caesar,buy
3500,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10250,SEASHELLS,64.0,14,2,64.0,Camilla,buy
3500,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10250,SEASHELLS,64.0,2,2,64.0,Caesar,buy
3500,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,9.0,14,2,9.0,Camilla,buy
3500,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,9.0,2,2,9.0,Caesar,buy
3500,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,722.0,14,2,722.0,Camilla,buy
3500,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,722.0,2,2,722.0,Caesar,buy
3500,Camilla,Caesar,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,473.0,14,2,473.0,Camilla,buy
3500,Caesar,Caesar,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,473.0,2,2,473.0,Caesar,buy
3700,Charlie,Pablo,KELP,SEASHELLS,2044.0,5,2,2043.5,Charlie,buy
3700,Charlie,Pablo,SQUID_INK,SEASHELLS,1807.0,5,2,1806.5,Charlie,buy
3900,Caesar,Peter,VOLCANIC_ROCK,SEASHELLS,10217.0,10,2,10217.5,Caesar,buy
4200,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,227.0,7,2,227.5,Camilla,buy
4200,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10250,SEASHELLS,61.0,7,2,61.5,Camilla,buy
4200,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,8.0,7,2,8.5,Camilla,buy
4200,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,714.0,7,2,714.5,Camilla,buy
4200,Camilla,Pablo,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,465.0,7,2,465.5,Camilla,buy
4500,Charlie,Pablo,RAINFOREST_RESIN,SEASHELLS,9998.0,3,2,9995.0,Charlie,buy
4600,Caesar,Camilla,JAMS,SEASHELLS,6523.0,10,2,6523.5,Caesar,buy
4600,Paris,Charlie,KELP,SEASHELLS,2046.0,1,2,2046.5,Paris,buy
4600,Paris,Charlie,SQUID_INK,SEASHELLS,1804.0,1,2,1804.5,Paris,buy
4700,Penelope,Charlie,KELP,SEASHELLS,2047.0,4,2,2045.5,Penelope,buy
4700,Penelope,Charlie,SQUID_INK,SEASHELLS,1805.0,4,2,1803.5,Penelope,buy
4800,Charlie,Gary,RAINFOREST_RESIN,SEASHELLS,9992.0,7,2,10000.0,Charlie,buy
4800,Penelope,Camilla,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,232.0,15,2,231.5,Penelope,buy
4800,Penelope,Camilla,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,717.0,15,2,716.5,Penelope,buy
4800,Penelope,Camilla,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,468.0,15,2,467.5,Penelope,buy
4900,Caesar,Camilla,DJEMBES,SEASHELLS,13421.0,7,2,13421.5,Caesar,buy
4900,Paris,Charlie,KELP,SEASHELLS,2047.0,2,2,2045.5,Paris,buy
4900,Paris,Charlie,SQUID_INK,SEASHELLS,1806.0,2,2,1804.5,Paris,buy
5000,Caesar,Camilla,CROISSANTS,SEASHELLS,4267.0,4,2,4267.5,Caesar,buy
5100,Paris,Camilla,RAINFOREST_RESIN,SEASHELLS,10003.0,2,2,9997.5,Paris,buy
5300,Charlie,Penelope,RAINFOREST_RESIN,SEASHELLS,9992.0,7,2,10000.0,Charlie,buy
5400,Charlie,Pablo,KELP,SEASHELLS,2044.0,5,2,2045.0,Charlie,buy
5400,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10220.0,7,2,10220.5,Caesar,buy
5500,Caesar,Camilla,JAMS,SEASHELLS,6522.0,4,2,6523.0,Caesar,buy
5700,Gary,Charlie,KELP,SEASHELLS,2047.0,14,2,2045.5,Gary,buy
5700,Caesar,Pablo,PICNIC_BASKET1,SEASHELLS,58704.0,1,2,58708.0,Caesar,buy
5700,Camilla,Pablo,PICNIC_BASKET1,SEASHELLS,58703.0,1,2,58708.0,Camilla,buy
5700,Camilla,Pablo,PICNIC_BASKET2,SEASHELLS,30091.0,2,2,30093.5,Camilla,buy
5700,Gary,Charlie,SQUID_INK,SEASHELLS,1808.0,14,2,1806.5,Gary,buy
5800,Gary,Charlie,KELP,SEASHELLS,2047.0,14,2,2045.5,Gary,buy
5800,Gary,Charlie,SQUID_INK,SEASHELLS,1808.0,14,2,1806.5,Gary,buy
5900,Gary,Charlie,KELP,SEASHELLS,2047.0,12,2,2046.0,Gary,buy
5900,Pablo,Paris,KELP,SEASHELLS,2045.0,1,2,2046.0,Pablo,buy
5900,Gary,Charlie,SQUID_INK,SEASHELLS,1809.0,12,2,1808.0,Gary,buy
5900,Pablo,Paris,SQUID_INK,SEASHELLS,1807.0,1,2,1808.0,Pablo,buy
6100,Caesar,Paris,DJEMBES,SEASHELLS,13419.0,5,2,13419.5,Caesar,buy
6100,Charlie,Pablo,KELP,SEASHELLS,2044.0,5,2,2045.0,Charlie,buy
6100,Gary,Camilla,KELP,SEASHELLS,2046.0,8,2,2045.0,Gary,buy
6100,Gary,Pablo,SQUID_INK,SEASHELLS,1806.0,5,2,1805.5,Gary,buy
6100,Caesar,Caesar,VOLCANIC_ROCK,SEASHELLS,10223.0,10,2,10224.0,Caesar,buy
6200,Caesar,Camilla,JAMS,SEASHELLS,6524.0,3,2,6525.0,Caesar,buy
